city,date,state,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
string,time,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,city state,continuous,continuous,continuous,False True,continuous,continuous,continuous,continuous,continuous
São João do Jaguaribe,2021-09-16,CE,city,802,9,450,True,7645,7601,2312502,10551.24326,0.0112
São Luís do Curu,2021-09-16,CE,city,1356,39,461,True,13000,13044,2312601,10395.58418,0.0288
Tabuleiro do Norte,2021-09-16,CE,city,5189,71,461,True,30697,30807,2313104,16843.57451,0.0137
Tamboril,2021-09-16,CE,city,2952,77,437,True,26251,26225,2313203,11256.43470,0.0261
Tarrafas,2021-09-16,CE,city,663,15,422,True,8592,8573,2313252,7733.58218,0.0226
Tauá,2021-09-16,CE,city,8809,187,456,True,58859,59062,2313302,14914.83526,0.0212
Tejuçuoca,2021-09-16,CE,city,1808,31,437,True,19187,19371,2313351,9333.53983,0.0171
Tianguá,2021-09-16,CE,city,9727,186,470,True,75946,76537,2313401,12708.88590,0.0191
Trairi,2021-09-16,CE,city,2495,96,458,True,55918,56291,2313500,4432.32488,0.0385
Tururu,2021-09-16,CE,city,1484,38,454,True,16271,16431,2313559,9031.70836,0.0256
Ubajara,2021-09-16,CE,city,1961,42,440,True,34792,35047,2313609,5595.34340,0.0214
Umari,2021-09-16,CE,city,533,10,419,True,7733,7736,2313708,6889.86556,0.0188
Umirim,2021-09-16,CE,city,985,40,447,True,19825,19903,2313757,4949.00266,0.0406
Uruburetama,2021-09-16,CE,city,1850,59,449,True,21850,22040,2313807,8393.82940,0.0319
Uruoca,2021-09-16,CE,city,1706,31,452,True,13840,13915,2313906,12260.15092,0.0182
Varjota,2021-09-16,CE,city,2595,30,437,True,18420,18471,2313955,14049.04986,0.0116
Viçosa do Ceará,2021-09-16,CE,city,5189,159,450,True,60889,61410,2314102,8449.76388,0.0306
Várzea Alegre,2021-09-16,CE,city,4104,78,462,True,40721,40903,2314003,10033.49388,0.0190
,2022-03-27,BA,state,1530054,29658,746,True,14873064,14930634,29,10247.74969,0.0194
Abaré,2021-12-01,BA,city,1162,11,480,True,20086,20347,2900207,5710.91561,0.0095
Abaíra,2021-12-01,BA,city,300,12,512,True,8739,8710,2900108,3444.31688,0.0400
Acajutiba,2021-12-01,BA,city,575,21,503,True,15159,15187,2900306,3786.13288,0.0365
Adustina,2021-12-01,BA,city,1098,27,521,True,17040,17126,2900355,6411.30445,0.0246
Aiquara,2021-12-01,BA,city,505,12,509,True,4446,4416,2900603,11435.68841,0.0238
Alagoinhas,2021-12-01,BA,city,14610,325,530,True,151596,152327,2900702,9591.20839,0.0222
Alcobaça,2021-12-01,BA,city,1791,30,465,True,22470,22490,2900801,7963.53935,0.0168
Almadina,2021-12-01,BA,city,647,11,502,True,5464,5366,2900900,12057.39843,0.0170
Amargosa,2021-12-01,BA,city,3240,57,485,True,37241,37441,2901007,8653.61502,0.0176
Amélia Rodrigues,2021-12-01,BA,city,2445,51,509,True,25102,25048,2901106,9761.25838,0.0209
América Dourada,2021-12-01,BA,city,964,13,476,True,16094,16090,2901155,5991.29894,0.0135
Anagé,2021-12-01,BA,city,1152,30,481,True,22005,21607,2901205,5331.60550,0.0260
Andaraí,2021-12-01,BA,city,952,10,462,True,13143,13132,2901304,7249.46695,0.0105
Andorinha,2021-12-01,BA,city,977,17,452,True,14595,14503,2901353,6736.53727,0.0174
Angical,2021-12-01,BA,city,862,20,456,True,13977,13938,2901403,6184.53150,0.0232
Anguera,2021-12-01,BA,city,532,2,485,True,11221,11297,2901502,4709.21484,0.0038
Antas,2021-12-01,BA,city,1319,13,464,True,19291,19479,2901601,6771.39484,0.0099
Antônio Cardoso,2021-12-01,BA,city,636,11,470,True,11683,11677,2901700,5446.60444,0.0173
Antônio Gonçalves,2021-12-01,BA,city,918,10,452,True,11798,11878,2901809,7728.57383,0.0109
Aporá,2021-12-01,BA,city,676,19,474,True,17731,17788,2901908,3800.31482,0.0281
Apuarema,2021-12-01,BA,city,777,11,474,True,7330,7302,2901957,10640.92030,0.0142
Aracatu,2021-12-01,BA,city,914,18,497,True,13135,13045,2902005,7006.51591,0.0197
Araci,2021-12-01,BA,city,3853,55,517,True,54379,54648,2902104,7050.57825,0.0143
Aramari,2021-12-01,BA,city,694,14,462,True,11397,11461,2902203,6055.31804,0.0202
Arataca,2021-12-01,BA,city,791,15,496,True,11019,10961,2902252,7216.49485,0.0190
Aratuípe,2021-12-01,BA,city,499,12,467,True,8825,8837,2902302,5646.71269,0.0240
Araçás,2021-12-01,BA,city,718,17,481,True,12177,12208,2902054,5881.38925,0.0237
Aurelino Leal,2021-12-01,BA,city,1094,35,517,True,11531,11299,2902401,9682.27277,0.0320
Baianópolis,2021-12-01,BA,city,983,20,469,True,13877,13929,2902500,7057.21875,0.0203
Baixa Grande,2021-12-01,BA,city,1043,19,446,True,20468,20449,2902609,5100.49391,0.0182
Banzaê,2021-12-01,BA,city,1195,9,480,True,13229,13240,2902658,9025.67976,0.0075
Barra,2021-12-01,BA,city,2278,66,525,True,53578,53910,2902708,4225.56112,0.0290
Barra da Estiva,2021-12-01,BA,city,2867,33,457,True,20598,20392,2902807,14059.43507,0.0115
Barra do Choça,2021-12-01,BA,city,2340,36,519,True,31603,31209,2902906,7497.83716,0.0154
Barra do Mendes,2021-12-01,BA,city,856,17,473,True,13865,13833,2903003,6188.10092,0.0199
Barra do Rocha,2021-12-01,BA,city,416,7,524,True,5714,5612,2903102,7412.68710,0.0168
Barreiras,2021-12-01,BA,city,20234,332,534,True,155439,156975,2903201,12889.95063,0.0164
