city,date,state,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
string,time,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,city state,continuous,continuous,continuous,False True,continuous,continuous,continuous,continuous,continuous
Piritiba,2021-12-01,BA,city,763,15,477,True,24755,24964,2924801,3056.40122,0.0197
Planaltino,2021-12-01,BA,city,630,9,418,True,9322,9370,2924900,6723.58591,0.0143
Planalto,2021-12-01,BA,city,1940,33,459,True,26265,26426,2925006,7341.25482,0.0170
Pojuca,2021-12-01,BA,city,4194,52,527,True,39519,39972,2925204,10492.34464,0.0124
Ponto Novo,2021-12-01,BA,city,690,12,480,True,14914,14819,2925253,4656.18463,0.0174
Porto Seguro,2021-12-01,BA,city,13068,246,540,True,148686,150658,2925303,8673.95027,0.0188
Potiraguá,2021-12-01,BA,city,544,12,486,True,7224,6916,2925402,7865.81839,0.0221
Poções,2021-12-01,BA,city,4057,83,466,True,46871,46879,2925105,8654.19484,0.0205
Prado,2021-12-01,BA,city,2345,58,539,True,28174,28194,2925501,8317.37249,0.0247
Presidente Dutra,2021-12-01,BA,city,1520,26,485,True,15142,15160,2925600,10026.38522,0.0171
Presidente Jânio Quadros,2021-12-01,BA,city,723,13,480,True,12338,12179,2925709,5936.44798,0.0180
Presidente Tancredo Neves,2021-12-01,BA,city,1858,41,485,True,27719,28004,2925758,6634.76646,0.0221
Pé de Serra,2021-12-01,BA,city,1697,9,460,True,13578,13556,2924058,12518.44202,0.0053
Queimadas,2021-12-01,BA,city,1641,44,481,True,25439,25433,2925808,6452.24708,0.0268
Quijingue,2021-12-01,BA,city,501,21,457,True,27580,27626,2925907,1813.50901,0.0419
Quixabeira,2021-12-01,BA,city,835,8,483,True,8972,8956,2925931,9323.35864,0.0096
Rafael Jambeiro,2021-12-01,BA,city,1302,25,493,True,22621,22633,2925956,5752.66204,0.0192
Remanso,2021-12-01,BA,city,2710,77,491,True,41008,41170,2926004,6582.46296,0.0284
Retirolândia,2021-12-01,BA,city,1659,13,492,True,14396,14495,2926103,11445.32597,0.0078
Riacho de Santana,2021-12-01,BA,city,1847,41,473,True,35421,35593,2926400,5189.22260,0.0222
Riachão das Neves,2021-12-01,BA,city,1497,45,469,True,22339,22334,2926202,6702.78499,0.0301
Riachão do Jacuípe,2021-12-01,BA,city,4790,49,476,True,33436,33468,2926301,14312.17880,0.0102
Ribeira do Amparo,2021-12-01,BA,city,1064,9,472,True,14592,14612,2926509,7281.68629,0.0085
Ribeira do Pombal,2021-12-01,BA,city,5465,72,506,True,53807,53956,2926608,10128.62332,0.0132
Ribeirão do Largo,2021-12-01,BA,city,467,10,462,True,5812,5343,2926657,8740.40801,0.0214
Rio Real,2021-12-01,BA,city,3120,47,503,True,40732,40976,2927002,7614.21320,0.0151
Rio de Contas,2021-12-01,BA,city,742,7,431,True,12989,12932,2926707,5737.70492,0.0094
Rio do Antônio,2021-12-01,BA,city,1042,17,468,True,15371,15448,2926806,6745.20974,0.0163
Rio do Pires,2021-12-01,BA,city,323,11,515,True,11655,11663,2926905,2769.44182,0.0341
Rodelas,2021-12-01,BA,city,345,7,483,True,9331,9442,2927101,3653.88689,0.0203
Ruy Barbosa,2021-12-01,BA,city,2706,33,482,True,30814,30857,2927200,8769.48504,0.0122
Salinas da Margarida,2021-12-01,BA,city,1510,21,468,True,15667,15862,2927309,9519.60661,0.0139
Salvador,2021-12-01,BA,city,238447,8082,542,True,2872347,2886698,2927408,8260.19902,0.0339
Santa Brígida,2021-12-01,BA,city,975,21,471,True,14213,14063,2927606,6933.08682,0.0215
Santa Bárbara,2021-12-01,BA,city,1558,23,497,True,20791,20883,2927507,7460.61390,0.0148
Santa Cruz Cabrália,2021-12-01,BA,city,3144,35,523,True,27778,27922,2927705,11259.93840,0.0111
Santa Cruz da Vitória,2021-12-01,BA,city,670,9,464,True,6315,6278,2927804,10672.18860,0.0134
Santa Inês,2021-12-01,BA,city,690,12,469,True,10631,10606,2927903,6505.75146,0.0174
Santa Luzia,2021-12-01,BA,city,1183,32,516,True,12597,12449,2928059,9502.77131,0.0270
Santa Maria da Vitória,2021-12-01,BA,city,3366,63,520,True,39845,39775,2928109,8462.60214,0.0187
Santa Rita de Cássia,2021-12-01,BA,city,2727,39,466,True,28338,28481,2928406,9574.80426,0.0143
Santa Teresinha,2021-12-01,BA,city,663,11,511,True,10405,10464,2928505,6336.00917,0.0166
Santaluz,2021-12-01,BA,city,3425,52,498,True,37348,37531,2928000,9125.78935,0.0152
Santana,2021-12-01,BA,city,647,44,438,True,26614,26705,2928208,2422.76727,0.0680
Santanópolis,2021-12-01,BA,city,713,12,487,True,8943,8966,2928307,7952.26411,0.0168
Santo Amaro,2021-12-01,BA,city,3256,89,496,True,60069,60131,2928604,5414.84426,0.0273
Santo Antônio de Jesus,2021-12-01,BA,city,13345,169,493,True,101512,102380,2928703,13034.77242,0.0127
Santo Estêvão,2021-12-01,BA,city,4620,65,486,True,52850,53269,2928802,8672.96176,0.0141
Sapeaçu,2021-12-01,BA,city,1925,24,472,True,17398,17409,2929602,11057.49899,0.0125
Saubara,2021-12-01,BA,city,643,19,493,True,12043,12105,2929750,5311.85461,0.0295
Saúde,2021-12-01,BA,city,656,4,480,True,12913,12943,2929800,5068.37673,0.0061
Seabra,2021-12-01,BA,city,6241,91,497,True,44091,44234,2929909,14109.05638,0.0146
Sebastião Laranjeiras,2021-12-01,BA,city,497,9,432,True,11434,11512,2930006,4317.23419,0.0181
Senhor do Bonfim,2021-12-01,BA,city,5254,87,483,True,79015,79424,2930105,6615.12893,0.0166
Sento Sé,2021-12-01,BA,city,1220,47,480,True,40684,40989,2930204,2976.40830,0.0385
Serra Dourada,2021-12-01,BA,city,562,17,462,True,17386,17321,2930303,3244.61636,0.0302
Serra Preta,2021-12-01,BA,city,884,20,503,True,14878,14699,2930402,6014.01456,0.0226
Serra do Ramalho,2021-12-01,BA,city,879,32,513,True,31472,31416,2930154,2797.93736,0.0364
Serrinha,2021-12-01,BA,city,7798,102,517,True,80861,81286,2930501,9593.28790,0.0131
Serrolândia,2021-12-01,BA,city,1138,13,488,True,13397,13446,2930600,8463.48356,0.0114
Simões Filho,2021-12-01,BA,city,9501,238,521,True,134377,135783,2930709,6997.19405,0.0250
Sobradinho,2021-12-01,BA,city,2201,61,481,True,23191,23233,2930774,9473.59360,0.0277
Souto Soares,2021-12-01,BA,city,988,22,470,True,16979,17050,2930808,5794.72141,0.0223
Sátiro Dias,2021-12-01,BA,city,842,15,501,True,17273,17302,2929701,4866.48942,0.0178
São Desidério,2021-12-01,BA,city,3436,50,481,True,33742,34266,2928901,10027.43244,0.0146
São Domingos,2021-12-01,BA,city,1067,12,531,True,9058,9072,2928950,11761.46384,0.0112
São Felipe,2021-12-01,BA,city,3428,31,497,True,21074,21080,2929107,16261.85958,0.0090
São Francisco do Conde,2021-12-01,BA,city,3801,69,519,True,39802,40245,2929206,9444.65151,0.0182
São Félix,2021-12-01,BA,city,1012,8,467,True,14740,14762,2929008,6855.43964,0.0079
São Félix do Coribe,2021-12-01,BA,city,1131,28,438,True,15391,15468,2929057,7311.86967,0.0248
São Gabriel,2021-12-01,BA,city,1809,15,459,True,18793,18789,2929255,9627.97381,0.0083
São Gonçalo dos Campos,2021-12-01,BA,city,2519,35,493,True,37550,37942,2929305,6639.08070,0.0139
São José da Vitória,2021-12-01,BA,city,753,8,502,True,5657,5608,2929354,13427.24679,0.0106
São José do Jacuípe,2021-12-01,BA,city,519,2,466,True,10462,10505,2929370,4940.50452,0.0039
São Miguel das Matas,2021-12-01,BA,city,894,8,456,True,11675,11704,2929404,7638.41422,0.0089
São Sebastião do Passé,2021-12-01,BA,city,3607,94,490,True,44300,44430,2929503,8118.38848,0.0261
Sítio do Mato,2021-12-01,BA,city,231,10,399,True,13012,13059,2930758,1768.89501,0.0433
Sítio do Quinto,2021-12-01,BA,city,593,11,461,True,9986,9701,2930766,6112.77188,0.0185
Tabocas do Brejo Velho,2021-12-01,BA,city,293,11,474,True,12518,12516,2930907,2341.00352,0.0375
Tanhaçu,2021-12-01,BA,city,1484,26,466,True,20403,20393,2931004,7277.00682,0.0175
Tanque Novo,2021-12-01,BA,city,1093,14,459,True,17366,17443,2931053,6266.12395,0.0128
Tanquinho,2021-12-01,BA,city,834,17,466,True,7918,7928,2931103,10519.67709,0.0204
Taperoá,2021-12-01,BA,city,1241,34,510,True,21074,21253,2931202,5839.17565,0.0274
Tapiramutá,2021-12-01,BA,city,659,6,440,True,17010,16974,2931301,3882.40839,0.0091
Teixeira de Freitas,2021-12-01,BA,city,19898,318,532,True,160487,162438,2931350,12249.59677,0.0160
Teodoro Sampaio,2021-12-01,BA,city,323,8,455,True,7425,7359,2931400,4389.18331,0.0248
Teofilândia,2021-12-01,BA,city,1050,21,481,True,22518,22555,2931509,4655.28708,0.0200
Teolândia,2021-12-01,BA,city,1022,10,459,True,14943,15022,2931608,6803.35508,0.0098
Terra Nova,2021-12-01,BA,city,914,25,469,True,13033,13025,2931707,7017.27447,0.0274
Tremedal,2021-12-01,BA,city,790,17,459,True,16394,16189,2931806,4879.85669,0.0215
Tucano,2021-12-01,BA,city,3641,64,489,True,50687,50798,2931905,7167.60502,0.0176
Uauá,2021-12-01,BA,city,3054,57,466,True,24240,24113,2932002,12665.36723,0.0187
Ubaitaba,2021-12-01,BA,city,1297,43,499,True,19056,18847,2932200,6881.73184,0.0332
Ubatã,2021-12-01,BA,city,2065,50,516,True,27035,27263,2932309,7574.36819,0.0242
Ubaíra,2021-12-01,BA,city,1290,30,474,True,19895,19877,2932101,6489.91296,0.0233
Uibaí,2021-12-01,BA,city,1009,25,459,True,13887,13891,2932408,7263.69592,0.0248
Umburanas,2021-12-01,BA,city,777,10,486,True,19222,19402,2932457,4004.74178,0.0129
Una,2021-12-01,BA,city,1690,46,511,True,19002,18544,2932507,9113.45988,0.0272
Urandi,2021-12-01,BA,city,858,9,477,True,16658,16665,2932606,5148.51485,0.0105
Uruçuca,2021-12-01,BA,city,2090,74,521,True,20519,20413,2932705,10238.57346,0.0354
Utinga,2021-12-01,BA,city,1693,17,522,True,19178,19256,2932804,8792.06481,0.0100
Valente,2021-12-01,BA,city,2858,28,510,True,28473,28800,2933000,9923.61111,0.0098
Valença,2021-12-01,BA,city,8035,144,508,True,96562,97233,2932903,8263.65534,0.0179
Varzedo,2021-12-01,BA,city,657,6,473,True,8838,8785,2933174,7478.65680,0.0091
Vera Cruz,2021-12-01,BA,city,1795,79,514,True,43223,43716,2933208,4106.04813,0.0440
Vereda,2021-12-01,BA,city,665,19,481,True,6205,6153,2933257,10807.73606,0.0286
Vitória da Conquista,2021-12-01,BA,city,36333,633,524,True,338480,341128,2933307,10650.84074,0.0174
Várzea Nova,2021-12-01,BA,city,927,11,494,True,12697,12625,2933158,7342.57426,0.0119
Várzea da Roça,2021-12-01,BA,city,1160,10,481,True,14104,14121,2933059,8214.71567,0.0086
Várzea do Poço,2021-12-01,BA,city,543,5,415,True,9170,9210,2933109,5895.76547,0.0092
Wagner,2021-12-01,BA,city,972,9,435,True,9345,9344,2933406,10402.39726,0.0093
Wanderley,2021-12-01,BA,city,1075,30,462,True,12238,12180,2933455,8825.94417,0.0279
Wenceslau Guimarães,2021-12-01,BA,city,1977,31,475,True,21101,20978,2933505,9424.15864,0.0157
Xique-Xique,2021-12-01,BA,city,3095,84,473,True,46483,46523,2933604,6652.62343,0.0271
Água Fria,2021-12-01,BA,city,206,13,504,True,16970,17033,2900405,1209.41701,0.0631
Érico Cardoso,2021-12-01,BA,city,332,5,455,True,10610,10560,2900504,3143.93939,0.0151
,2022-03-26,MS,state,523565,10486,722,True,2778986,2809394,50,18636.22546,0.0200
Alcinópolis,2021-08-22,MS,city,419,9,504,True,5343,5417,5000252,7734.90862,0.0215
Amambai,2021-08-22,MS,city,3272,83,464,True,39396,39826,5000609,8215.73846,0.0254
Anastácio,2021-08-22,MS,city,2597,79,448,True,25135,25237,5000708,10290.44657,0.0304
Anaurilândia,2021-08-22,MS,city,561,15,408,True,9035,9076,5000807,6181.13706,0.0267
Angélica,2021-08-22,MS,city,1397,20,434,True,10780,10932,5000856,12778.99744,0.0143
Antônio João,2021-08-22,MS,city,540,16,405,True,8956,9020,5000906,5986.69623,0.0296
Aparecida do Taboado,2021-08-22,MS,city,3638,60,440,True,25745,26069,5001003,13955.27255,0.0165
Aquidauana,2021-08-22,MS,city,5630,159,444,True,47871,48029,5001102,11722.08457,0.0282
Aral Moreira,2021-08-22,MS,city,559,15,418,True,12149,12332,5001243,4532.92248,0.0268
Bandeirantes,2021-08-22,MS,city,637,11,425,True,6788,7266,5001508,8766.85934,0.0173
Bataguassu,2021-08-22,MS,city,3503,48,484,True,23024,23325,5001904,15018.22079,0.0137
Batayporã,2021-08-22,MS,city,1091,26,508,True,11329,11349,5002001,9613.18178,0.0238
Bela Vista,2021-08-22,MS,city,1075,31,466,True,24629,24735,5002100,4346.06832,0.0288
Bodoquena,2021-08-22,MS,city,584,18,455,True,7875,7838,5002159,7450.88033,0.0308
Bonito,2021-08-22,MS,city,3189,72,466,True,21976,22190,5002209,14371.33844,0.0226
Brasilândia,2021-08-22,MS,city,1271,25,469,True,11872,11853,5002308,10723.02371,0.0197
Caarapó,2021-08-22,MS,city,4071,56,451,True,30174,30593,5002407,13306.96565,0.0138
Camapuã,2021-08-22,MS,city,930,32,459,True,13711,13693,5002605,6791.79143,0.0344
Campo Grande,2021-08-22,MS,city,132845,3902,521,True,895982,906092,5002704,14661.31475,0.0294
Caracol,2021-08-22,MS,city,362,11,434,True,6116,6182,5002803,5855.71013,0.0304
Cassilândia,2021-08-22,MS,city,2992,95,429,True,21939,22002,5002902,13598.76375,0.0318
Chapadão do Sul,2021-08-22,MS,city,5186,75,499,True,25218,25865,5002951,20050.26097,0.0145
Corguinho,2021-08-22,MS,city,266,11,440,True,5947,6054,5003108,4393.78923,0.0414
Coronel Sapucaia,2021-08-22,MS,city,1078,33,415,True,15253,15352,5003157,7021.88640,0.0306
Corumbá,2021-08-22,MS,city,15408,460,497,True,111435,112058,5003207,13750.02231,0.0299
Costa Rica,2021-08-22,MS,city,3822,76,444,True,20823,21142,5003256,18077.75991,0.0199
Coxim,2021-08-22,MS,city,4312,104,491,True,33543,33459,5003306,12887.41445,0.0241
Deodápolis,2021-08-22,MS,city,1957,38,457,True,12924,12984,5003454,15072.39680,0.0194
Dois Irmãos do Buriti,2021-08-22,MS,city,1103,28,406,True,11385,11467,5003488,9618.90643,0.0254
Douradina,2021-08-22,MS,city,628,13,457,True,5924,5975,5003504,10510.46025,0.0207
Dourados,2021-08-22,MS,city,38338,658,507,True,222949,225495,5003702,17001.70735,0.0172
Eldorado,2021-08-22,MS,city,1332,46,420,True,12353,12400,5003751,10741.93548,0.0345
Figueirão,2021-08-22,MS,city,187,6,412,True,3051,3059,5003900,6113.10886,0.0321
Fátima do Sul,2021-08-22,MS,city,2807,70,458,True,19189,19170,5003801,14642.67084,0.0249
Glória de Dourados,2021-08-22,MS,city,1231,26,458,True,9965,9950,5004007,12371.85930,0.0211
Guia Lopes da Laguna,2021-08-22,MS,city,1057,34,469,True,9895,9824,5004106,10759.36482,0.0322
Iguatemi,2021-08-22,MS,city,956,14,434,True,16078,16176,5004304,5909.99011,0.0146
Inocência,2021-08-22,MS,city,1093,11,427,True,7610,7588,5004403,14404.32261,0.0101
Itaporã,2021-08-22,MS,city,1986,49,456,True,24839,25162,5004502,7892.85430,0.0247
Itaquiraí,2021-08-22,MS,city,2227,48,445,True,21142,21376,5004601,10418.22605,0.0216
Ivinhema,2021-08-22,MS,city,4858,70,449,True,23187,23232,5004700,20910.81267,0.0144
Japorã,2021-08-22,MS,city,216,8,410,True,9110,9243,5004809,2336.90360,0.0370
Jaraguari,2021-08-22,MS,city,304,10,405,True,7187,7265,5004908,4184.44597,0.0329
Jardim,2021-08-22,MS,city,2248,68,467,True,26097,26238,5005004,8567.72620,0.0302
Jateí,2021-08-22,MS,city,489,5,471,True,4027,4021,5005103,12161.15394,0.0102
Juti,2021-08-22,MS,city,649,11,426,True,6712,6787,5005152,9562.39870,0.0169
Ladário,2021-08-22,MS,city,2758,63,486,True,23331,23689,5005202,11642.53451,0.0228
Laguna Carapã,2021-08-22,MS,city,609,10,441,True,7341,7419,5005251,8208.65346,0.0164
Maracaju,2021-08-22,MS,city,6363,105,448,True,47083,48022,5005400,13250.17700,0.0165
Miranda,2021-08-22,MS,city,3013,94,488,True,28013,28220,5005608,10676.82495,0.0312
Mundo Novo,2021-08-22,MS,city,2348,36,487,True,18366,18473,5005681,12710.44227,0.0153
Naviraí,2021-08-22,MS,city,9427,248,492,True,54878,55689,5005707,16927.93909,0.0263
Nioaque,2021-08-22,MS,city,1060,20,411,True,13930,13862,5005806,7646.80421,0.0189
Nova Alvorada do Sul,2021-08-22,MS,city,2487,38,451,True,21882,22430,5006002,11087.82880,0.0153
Nova Andradina,2021-08-22,MS,city,3948,96,504,True,54374,55224,5006200,7149.06562,0.0243
Novo Horizonte do Sul,2021-08-22,MS,city,501,10,432,True,3814,3684,5006259,13599.34853,0.0200
Paranaíba,2021-08-22,MS,city,5001,148,493,True,42148,42276,5006309,11829.40676,0.0296
Paranhos,2021-08-22,MS,city,553,13,459,True,14228,14404,5006358,3839.21133,0.0235
Paraíso das Águas,2021-08-22,MS,city,550,17,486,True,5555,5654,5006275,9727.62646,0.0309
Pedro Gomes,2021-08-22,MS,city,649,16,410,True,7674,7621,5006408,8515.94279,0.0247
Ponta Porã,2021-08-22,MS,city,9787,323,514,True,92526,93937,5006606,10418.68486,0.0330
Porto Murtinho,2021-08-22,MS,city,1460,38,450,True,17131,17298,5006903,8440.28211,0.0260
Ribas do Rio Pardo,2021-08-22,MS,city,2815,54,466,True,24615,24966,5007109,11275.33445,0.0192
Rio Brilhante,2021-08-22,MS,city,4965,81,452,True,37514,38186,5007208,13002.14738,0.0163
Rio Negro,2021-08-22,MS,city,543,9,423,True,4831,4793,5007307,11329.02149,0.0166
Rio Verde de Mato Grosso,2021-08-22,MS,city,2189,70,508,True,19746,19973,5007406,10959.79572,0.0320
Rochedo,2021-08-22,MS,city,421,10,425,True,5499,5079,5007505,8289.03327,0.0238
Santa Rita do Pardo,2021-08-22,MS,city,613,10,420,True,7851,7900,5007554,7759.49367,0.0163
Selvíria,2021-08-22,MS,city,656,16,486,True,6529,6542,5007802,10027.51452,0.0244
Sete Quedas,2021-08-22,MS,city,739,21,410,True,10791,10771,5007703,6861.01569,0.0284
Sidrolândia,2021-08-22,MS,city,5311,148,516,True,57665,59245,5007901,8964.46958,0.0279
Sonora,2021-08-22,MS,city,2021,34,497,True,19274,19721,5007935,10247.95903,0.0168
São Gabriel do Oeste,2021-08-22,MS,city,4241,86,465,True,26771,27221,5007695,15579.88318,0.0203
Tacuru,2021-08-22,MS,city,733,16,461,True,11552,11674,5007950,6278.91040,0.0218
Taquarussu,2021-08-22,MS,city,264,6,451,True,3588,3588,5007976,7357.85953,0.0227
Terenos,2021-08-22,MS,city,1750,74,437,True,21806,22269,5008008,7858.45795,0.0423
Três Lagoas,2021-08-22,MS,city,19807,505,503,True,121388,123281,5008305,16066.54716,0.0255
Vicentina,2021-08-22,MS,city,941,30,462,True,6102,6109,5008404,15403.50303,0.0319
Água Clara,2021-08-22,MS,city,2916,66,448,True,15522,15776,5000203,18483.77282,0.0226
,2022-03-27,MA,state,424199,10869,736,True,7075181,7114598,21,5962.37482,0.0256
Afonso Cunha,2021-09-16,MA,city,267,3,463,True,6524,6578,2100105,4058.98449,0.0112
Alcântara,2021-09-16,MA,city,336,19,494,True,22097,22112,2100204,1519.53690,0.0565
Aldeias Altas,2021-09-16,MA,city,977,14,481,True,26532,26757,2100303,3651.38095,0.0143
Altamira do Maranhão,2021-09-16,MA,city,359,14,500,True,8128,8189,2100402,4383.92966,0.0390
Alto Alegre do Maranhão,2021-09-16,MA,city,1358,29,484,True,27053,27858,2100436,4874.72180,0.0214
Alto Alegre do Pindaré,2021-09-16,MA,city,2253,47,488,True,31919,31943,2100477,7053.18849,0.0209
Alto Parnaíba,2021-09-16,MA,city,1019,11,468,True,11190,11212,2100501,9088.47663,0.0108
Amapá do Maranhão,2021-09-16,MA,city,172,6,477,True,6962,7005,2100550,2455.38901,0.0349
Amarante do Maranhão,2021-09-16,MA,city,1609,53,484,True,41435,41729,2100600,3855.83168,0.0329
Anajatuba,2021-09-16,MA,city,1166,27,493,True,26803,26988,2100709,4320.43871,0.0232
Anapurus,2021-09-16,MA,city,831,14,479,True,15732,15894,2100808,5228.38807,0.0168
Apicum-Açu,2021-09-16,MA,city,545,11,481,True,17239,17413,2100832,3129.84552,0.0202
Araguanã,2021-09-16,MA,city,810,5,483,True,15426,15551,2100873,5208.66825,0.0062
Araioses,2021-09-16,MA,city,684,15,474,True,46440,46771,2100907,1462.44468,0.0219
Arame,2021-09-16,MA,city,1563,42,475,True,32701,32764,2100956,4770.47979,0.0269
Arari,2021-09-16,MA,city,1001,34,494,True,29848,29932,2101004,3344.24696,0.0340
Axixá,2021-09-16,MA,city,192,8,482,True,12130,12183,2101103,1575.96651,0.0417
Açailândia,2021-09-16,MA,city,5681,240,511,True,112445,113121,2100055,5022.05603,0.0422
Bacabal,2021-09-16,MA,city,5601,202,496,True,104949,104790,2101202,5344.97567,0.0361
Bacabeira,2021-09-16,MA,city,398,10,496,True,17055,17252,2101251,2306.97890,0.0251
Bacuri,2021-09-16,MA,city,620,4,470,True,18582,18654,2101301,3323.68393,0.0065
Bacurituba,2021-09-16,MA,city,117,2,468,True,5644,5670,2101350,2063.49206,0.0171
Balsas,2021-09-16,MA,city,12971,208,492,True,94887,95929,2101400,13521.45858,0.0160
Barra do Corda,2021-09-16,MA,city,5830,74,478,True,88212,88492,2101608,6588.16616,0.0127
Barreirinhas,2021-09-16,MA,city,2642,48,495,True,62528,63217,2101707,4179.25558,0.0182
Barão de Grajaú,2021-09-16,MA,city,479,4,474,True,18820,18924,2101509,2531.17734,0.0084
Bela Vista do Maranhão,2021-09-16,MA,city,225,20,482,True,11209,11279,2101772,1994.85770,0.0889
Belágua,2021-09-16,MA,city,413,4,474,True,7469,7528,2101731,5486.18491,0.0097
Benedito Leite,2021-09-16,MA,city,316,2,460,True,5632,5638,2101806,5604.82441,0.0063
Bequimão,2021-09-16,MA,city,282,23,482,True,21280,21299,2101905,1324.00582,0.0816
Bernardo do Mearim,2021-09-16,MA,city,301,6,468,True,6043,6073,2101939,4956.36424,0.0199
Boa Vista do Gurupi,2021-09-16,MA,city,15,4,474,True,9287,8382,2101970,178.95490,0.2667
Bom Jardim,2021-09-16,MA,city,1475,55,485,True,41630,41822,2102002,3526.85190,0.0373
Bom Jesus das Selvas,2021-09-16,MA,city,3613,38,476,True,34028,34567,2102036,10452.16536,0.0105
Bom Lugar,2021-09-16,MA,city,531,7,481,True,16294,16438,2102077,3230.31999,0.0132
Brejo,2021-09-16,MA,city,958,19,486,True,36397,36651,2102101,2613.84410,0.0198
Brejo de Areia,2021-09-16,MA,city,316,11,464,True,9188,9014,2102150,3505.65787,0.0348
Buriti,2021-09-16,MA,city,914,8,479,True,28678,28798,2102200,3173.83152,0.0088
Buriti Bravo,2021-09-16,MA,city,1762,20,473,True,23884,23939,2102309,7360.37428,0.0114
Buriticupu,2021-09-16,MA,city,3796,79,486,True,72358,72983,2102325,5201.21124,0.0208
Buritirana,2021-09-16,MA,city,448,24,480,True,15430,15467,2102358,2896.48930,0.0536
Cachoeira Grande,2021-09-16,MA,city,327,8,502,True,9431,9478,2102374,3450.09496,0.0245
Cajapió,2021-09-16,MA,city,178,7,506,True,11177,11216,2102408,1587.01854,0.0393
Cajari,2021-09-16,MA,city,282,9,479,True,19379,19451,2102507,1449.79693,0.0319
Campestre do Maranhão,2021-09-16,MA,city,1131,44,469,True,14374,14453,2102556,7825.36498,0.0389
Cantanhede,2021-09-16,MA,city,940,14,502,True,21995,22117,2102705,4250.12434,0.0149
Capinzal do Norte,2021-09-16,MA,city,645,9,474,True,10934,10935,2102754,5898.49108,0.0140
Carolina,2021-09-16,MA,city,1158,25,466,True,24322,24165,2102804,4792.05462,0.0216
Carutapera,2021-09-16,MA,city,1092,38,478,True,23807,23952,2102903,4559.11824,0.0348
Caxias,2021-09-16,MA,city,12496,321,500,True,164880,165525,2103000,7549.31279,0.0257
Cedral,2021-09-16,MA,city,210,5,472,True,10675,10693,2103109,1963.90162,0.0238
Central do Maranhão,2021-09-16,MA,city,44,3,469,True,8673,8740,2103125,503.43249,0.0682
Centro Novo do Maranhão,2021-09-16,MA,city,1151,12,486,True,21622,21840,2103174,5270.14652,0.0104
Centro do Guilherme,2021-09-16,MA,city,509,5,474,True,13458,13670,2103158,3723.48208,0.0098
Chapadinha,2021-09-16,MA,city,6189,128,502,True,79675,80195,2103208,7717.43874,0.0207
Cidelândia,2021-09-16,MA,city,588,7,472,True,14697,14777,2103257,3979.15680,0.0119
Codó,2021-09-16,MA,city,3467,219,489,True,122859,123116,2103307,2816.04341,0.0632
Coelho Neto,2021-09-16,MA,city,1631,50,484,True,49435,49621,2103406,3286.91481,0.0307
Colinas,2021-09-16,MA,city,3341,52,504,True,41178,41312,2103505,8087.23857,0.0156
Conceição do Lago-Açu,2021-09-16,MA,city,272,11,485,True,16237,16400,2103554,1658.53659,0.0404
Coroatá,2021-09-16,MA,city,3366,95,480,True,65296,65544,2103604,5135.48151,0.0282
Cururupu,2021-09-16,MA,city,1561,28,494,True,32695,32626,2103703,4784.52768,0.0179
Cândido Mendes,2021-09-16,MA,city,114,8,478,True,20178,20278,2102606,562.18562,0.0702
Davinópolis,2021-09-16,MA,city,598,29,497,True,12908,12916,2103752,4629.91638,0.0485
Dom Pedro,2021-09-16,MA,city,1493,33,488,True,23350,23372,2103802,6387.98562,0.0221
Duque Bacelar,2021-09-16,MA,city,832,19,481,True,11349,11401,2103901,7297.60547,0.0228
Esperantinópolis,2021-09-16,MA,city,1108,28,482,True,17241,17104,2104008,6478.01684,0.0253
Estreito,2021-09-16,MA,city,3505,72,486,True,41946,42527,2104057,8241.82284,0.0205
Feira Nova do Maranhão,2021-09-16,MA,city,1598,10,468,True,8504,8484,2104073,18835.45497,0.0063
Fernando Falcão,2021-09-16,MA,city,849,1,475,True,10360,10460,2104081,8116.63480,0.0012
Formosa da Serra Negra,2021-09-16,MA,city,1383,9,469,True,19089,19258,2104099,7181.43109,0.0065
Fortaleza dos Nogueiras,2021-09-16,MA,city,1325,22,478,True,12631,12647,2104107,10476.79292,0.0166
Fortuna,2021-09-16,MA,city,1547,6,471,True,15552,15567,2104206,9937.68870,0.0039
Godofredo Viana,2021-09-16,MA,city,172,5,470,True,11819,11963,2104305,1437.76645,0.0291
Gonçalves Dias,2021-09-16,MA,city,1162,28,471,True,17934,17944,2104404,6475.70218,0.0241
Governador Archer,2021-09-16,MA,city,709,7,471,True,10840,10886,2104503,6512.95242,0.0099
Governador Edison Lobão,2021-09-16,MA,city,929,34,487,True,18296,18520,2104552,5016.19870,0.0366
Governador Eugênio Barros,2021-09-16,MA,city,1765,11,469,True,16828,16882,2104602,10454.92240,0.0062
Governador Luiz Rocha,2021-09-16,MA,city,303,1,459,True,7807,7841,2104628,3864.30302,0.0033
Governador Newton Bello,2021-09-16,MA,city,801,8,483,True,10180,10151,2104651,7890.84819,0.0100
Governador Nunes Freire,2021-09-16,MA,city,895,10,498,True,25577,25539,2104677,3504.44418,0.0112
Grajaú,2021-09-16,MA,city,5628,125,479,True,69527,70065,2104800,8032.54121,0.0222
